ADANIENT,"[291000, 291000]"
ADANIPORTS,"[291000, 291000]"
APOLLOHOSP,"[290995, 290910]"
ASIANPAINT,"[290910, 290910]"
AXISBANK,"[291000, 291000]"
BAJAJ-AUTO,"[548620, 323520]"
BAJFINANCE,"[112395, 630135]"
BAJAJFINSV,"[630095, 630095]"
BPCL,"[630135, 630135]"
BHARTIARTL,"[630105, 630105]"
BRITANNIA,"[630135, 630135]"
CIPLA,"[630135, 630135]"
COALINDIA,"[630135, 630135]"
DIVISLAB,"[630130, 630130]"
DRREDDY,"[630130, 630130]"
EICHERMOT,"[630130, 630130]"
GRASIM,"[630130, 630130]"
HCLTECH,"[630135, 630135]"
HDFCBANK,"[630135, 630135]"
HDFCLIFE,"[630135, 630135]"
HEROMOTOCO,"[630135, 630095]"
HINDALCO,"[630110, 630110]"
HINDUNILVR,"[630110, 630110]"
ICICIBANK,"[630110, 630110]"
ITC,"[630110, 630110]"
INDUSINDBK,"[630075, 630085]"
INFY,"[630085, 630085]"
JSWSTEEL,"[630085, 630085]"
KOTAKBANK,"[630110, 630110]"
LTIM,"[630110, 630110]"
LT,"[630105, 630105]"
M&M,"[630105, 630110]"
MARUTI,"[630110, 630110]"
NTPC,"[630110, 630110]"
NESTLEIND,"[630110, 630110]"
ONGC,"[748880, 748925]"
POWERGRID,"[748855, 748855]"
RELIANCE,"[748920, 748865]"
SBILIFE,"[748860, 748860]"
SBIN,"[748800, 748685]"
SUNPHARMA,"[748800, 748800]"
TCS,"[748795, 748795]"
TATACONSUM,"[748760, 748800]"
TATAMOTORS,"[748800, 748760]"
TATASTEEL,"[748760, 748675]"
TECHM,"[748755, 748675]"
TITAN,"[748755, 748690]"
UPL,"[172885, 172975]"
ULTRACEMCO,"[44495, 44485]"
WIPRO,"[120805, 34890]"
